title,author,publisherName,itemCaption,ISBN,salesDate,itemPrice,size,booksGenreId,reviewCount,reviewAverage
Pythonによる医用画像処理入門,藤田 広志/上杉 正人,オーム社,,9784274225468,2020年04月06日頃,3740,単行本,001028001012,1,0.0
世界標準MIT教科書　Python言語によるプログラミングイントロダクション第2版,ジョン V グッターク/久保 幹雄,近代科学社,ＭＩＴで人気Ｎｏ．１の講義テキスト！大幅な内容追加を受けて日本語第２版が登場！！ＭＩＴ　ＯＣＷとｅｄＸのビデオでも大人気。初版からコードを刷新、最新のＰｙｔｈｏｎ３に対応。,9784764905184,2017年09月01日頃,5060,単行本,001005005011,2,4.5
R・Pythonによる　統計データ科学,杉山高一/藤越康祝,勉誠出版,統計の基本的な考え方がよくわかるーＲ・Ｐｙｔｈｏｎによるプログラム付き。実際のデータ・例題を用いて、考え方の本質がわかるように解説。統計フリーソフトＲと人気のプログラミング言語Ｐｙｔｈｏｎを用いて、具体的なデータの分析法やグラフの書き方をレクチャー。モデル選択法、ブートストラップ法など、他の教科書にない実用的な内容もやさしく記述。,9784585240112,2020年01月31日頃,2970,単行本,001012002,0,0.0
これ以上やさしく説明できない ！Pythonはじめの一歩,西晃生,ナツメ社,プログラミングの基本となる、データ型、構文、関数などをていねいに解説！,9784816365577,2018年12月06日頃,3080,単行本,001005017,1,0.0
Pythonで理解する統計解析の基礎,辻真吾/谷合廣紀,技術評論社,統計解析を学びたいと考える方に向けて、データを確認しながら学習できる新時代の入門書。複雑な計算やグラフの描画が簡単にできるＰｙｔｈｏｎをフル活用。,9784297100490,2018年10月,3278,単行本,001005005011/001012002,1,4.0
実用的でないPythonプログラミング,Lee Vaughan/高島 亮祐,共立出版,,9784320124615,2020年08月12日頃,4290,単行本,001005017,2,3.5
詳解　確率ロボティクス　Pythonによる基礎アルゴリズムの実装,上田 隆一,講談社,赤裸々な上田節による丁寧な解説は、まさにバイブル。Ｊｕｐｙｔｅｒ　Ｎｏｔｅｂｏｏｋ対応だから、すぐに実践できる。,9784065170069,2019年10月27日頃,4290,単行本,001012010001/001012010003,1,0.0
Pythonでいかにして暗号を破るか 古典暗号解読プログラムを自作する本,Al Sweigart/IPUSIRON,ソシム,秘密のメッセージを作成、送信するために使われる暗号アルゴリズムを作ったり解読したりしながら、Ｐｙｔｈｏｎでプログラミングする方法を学ぶ。Ｐｙｔｈｏｎプログラミングの基本講習のあとで、転置式暗号やヴィジュネル暗号のような古典暗号を使ってテキストを暗号化するプログラムを作成する方法、検証する方法、ハッキングする方法。逆暗号やシーザー暗号のためのシンプルなプログラムから始め、電子署名や、電子メール、ビットコインを含む今日のオンライン取引の安全性を確保するために使われる暗号化形式である、公開鍵暗号までを学習。,9784802612166,2020年12月23日頃,3960,単行本,001005017,0,0.0
Pythonによるベイズ統計モデリング,Osvaldo Martin/金子 武久,共立出版,確率プログラミングのライブラリＰｙＭＣ３を使ったベイズ統計モデリングの基本をシンプルなデータを使って実践的に解説。次のことが学べます。「ベイズ統計モデリングの概念を理解する」「ＰｙＭＣ３を使って統計モデルを構築する」「モデルの健全性をチェックし、必要に応じてモデルを修正する」「モデルに階層構造を組み入れて、階層モデルを活用する」「回帰分析を使って、目的としている連続的な結果変数を予測する」,9784320113374,2018年06月22日頃,3960,単行本,001005005001/001012002,0,0.0
Pythonデータエンジニアリング入門,橋本 洋志/牧野 浩二,オーム社,データエンジニアリングは、データサイエンスを現実に意味のある形に使えるようにし、実装・運用できるようにすることです。データサイエンスを機器や分析に実応用するためには、Ｐｙｔｈｏｎスクリプトの高速化の知識や、センサ信号の取得、アクチュエータ制御に必須となる通信、インタフェース駆動といった外部デバイスとのデータアクセスの基本と応用についてのスキルの修得が必要となります。本書は、データをエンジニアリングするための入門的な知識を解説するものです。,9784274225345,2020年04月27日頃,3960,単行本,001005017,0,0.0
Pythonによる ベイズ統計学入門,中妻 照雄,朝倉書店,,9784254128987,2019年04月26日頃,3740,全集・双書,001005005011/001012002,1,0.0
Pythonでつくる対話システム,東中 竜一郎/稲葉 通将,オーム社,Ｐｙｔｈｏｎプログラミングとフリーソフトで人と対話するＡＩをつくる！Ｐｙｔｈｏｎによる実装からＡｍａｚｏｎ　Ａｌｅｘａ／Ｇｏｏｇｌｅ　Ｈｏｍｅとの連携まで解説。,9784274224799,2020年03月02日頃,2970,単行本,001005017,0,0.0
Python基礎ドリル穴埋め式,Grodet Aymeric/松本 翔太,オーム社,Ｐｙｔｈｏｎの基礎力を問う本。素直な問題、ひねった問題、ひっかけ問題、全９９問。,9784274225154,2020年04月13日頃,1980,単行本,001005017,0,0.0
つなげば動く！ Pythonふりがなプログラミング パターン文例80,リブロワークス,インプレス,,9784295009207,2020年07月22日頃,2420,,001005017,0,0.0
PythonユーザのためのJupyter［実践］入門,池内孝啓/片柳薫子,技術評論社,データ分析に必須のツールＪｕｐｙｔｅｒ　Ｎｏｔｅｂｏｏｋを徹底解説。ｐａｎｄａｓを使ったデータ加工や集計可視化について学べる。ＭａｔｐｌｏｔｌｉｂとＢｏｋｅｈを詳解。グラフ作成例を豊富に掲載。,9784774192239,2017年09月,3630,単行本,001005005006,3,2.0
改訂版　Pythonユーザのための Jupyter［実践］入門,池内 孝啓、片柳 薫子、@driller,技術評論社,ＪｕｐｙｔｅｒＬａｂの使い方とデータの分析・可視化を徹底解説！データ分析の必須ツール、ＪｕｐｙｔｅｒＬａｂの基本から応用まで。ｐａｎｄａｓによるデータの集計・加工・可視化ノウハウ。Ｍａｔｐｌｏｔｌｉｂとｓｅａｂｏｒｎによる効果的なグラフ作成。,9784297115685,2020年08月24日頃,3608,単行本,001005017,0,0.0
Pythonで学ぶ線形代数学,塚田 真/金子　博,オーム社,,9784274225338,2020年04月20日頃,3520,単行本,001012002,0,0.0
現場で使える！Python自然言語処理入門,赤石 雅典/江澤 美保,翔泳社,本書は、Ｐｙｔｈｏｎを利用して、人工知能分野で注目されている自然言語の分析手法を解説した書籍です。従来技術と新技術を比較しつつ、「インデックス化」「エンティティ抽出」「関係抽出」「構文解析」「評価・感情・概念分析」を網羅。Ｐｙｔｈｏｎによるプログラムや、ＡＰＩの利用、商用サービス（ＩＢＭ　Ｗａｔｓｏｎ）やＯＳＳ（ＭｅＣａｂ／Ｅｌａｓｔｉｃｓｅａｒｃｈ／Ｗｏｒｄ２Ｖｅｃ）の利用など、実践的な手法を解説します。また最終章で話題のＢＥＲＴについて解説します。,9784798142685,2020年01月20日頃,3520,単行本,001005017,1,4.0
Pythonによるデータマイニングと機械学習,藤野 巌,オーム社,,9784274224126,2019年08月24日頃,3520,単行本,001005017,1,3.0
Pythonで動かして学ぶ！あたらしい深層学習の教科書 機械学習の基本から深層学習まで,株式会社アイデミー 石川 聡彦,翔泳社,本書は株式会社アイデミーで大人気の講座『ディープラーニングで画像認識モデルを作ってみよう！』を書籍化したものです。機械学習の基本からはじまり、Ｐｙｔｈｏｎの基礎、データの処理、教師あり学習、深層学習の基本から応用について、サンプルを元に実際に動かしながら、わかりやすく解説します。各項には練習問題がありますので、学習効果を確かめながら読み進めることができます。本書を読めば、機械学習から深層学習の基本を一気通貫で学習できます。,9784798158570,2018年10月22日頃,3520,単行本,001005017,1,0.0
